"","Study_Number","group","grp1_base_n","grp1_base_mean","grp1_base_sd","grp1_base_se","n","weighted.mean","overall_mean","q","qc","overall_sd"
"1",15,"CVD_iMg",6,0.52,0.05,0.02,956,0.00326701570680628,0.504251308900524,1.6349,248.0064,15.7401354621493
"2",15,"CVD_iMg",6,0.52,0.03,0.01,956,0.00326701570680628,0.504251308900524,1.6269,248.0064,15.7401354621493
"3",15,"CVD_Total Mg",6,0.83,0.06,0.02,333,0.015,0.841686746987952,4.1514,239.1302,15.4408429036379
"4",15,"Healthy_iMg",12,0.56,0.04,0.01,5522,0.00121717080239087,0.53871037855461,3.7808,1431.9292,37.8370048836254
"5",15,"Healthy_iMg",12,0.58,0.03,0.01,5522,0.00126064118819055,0.53871037855461,4.0467,1431.9292,37.8370048836254
"6",19,"Healthy_iMg",6,0.56,0.0244948974278318,0.01,5522,0.000608585401195436,0.53871037855461,1.8846,1431.9292,37.8370048836254
"7",19,"Healthy_iMg",6,0.57,0.0489897948556636,0.02,5522,0.000619452997645354,0.53871037855461,1.9614,1431.9292,37.8370048836254
"8",19,"Healthy_iMg",6,0.57,0.0244948974278318,0.01,5522,0.000619452997645354,0.53871037855461,1.9524,1431.9292,37.8370048836254
"9",19,"Healthy_Total Mg",6,0.89,0.0489897948556636,0.02,1411,0.00378723404255319,0.854234042553191,4.7646,926.5355,30.4270482740539
"10",19,"Healthy_Total Mg",6,0.88,0.0734846922834953,0.03,1411,0.00374468085106383,0.854234042553191,4.6734,926.5355,30.4270482740539
"11",19,"Healthy_Total Mg",6,0.9,0.0489897948556636,0.02,1411,0.00382978723404255,0.854234042553191,4.872,926.5355,30.4270482740539
"12",19,"Healthy_iMg",40,0.6,0,0,5522,0.0043470385799674,0.53871037855461,14.4,1431.9292,37.8370048836254
"13",19,"Healthy_Total Mg",40,0.84,0.0632455532033676,0.01,1411,0.0238297872340426,0.854234042553191,28.38,926.5355,30.4270482740539
"14",28,"CVD_iMg",15,0.54,0.07,0.02,956,0.00848167539267016,0.504251308900524,4.4426,248.0064,15.7401354621493
"15",30,"Healthy_iMg",97,0.5,0,0,5522,0.00878464046368412,0.53871037855461,24.25,1431.9292,37.8370048836254
"16",30,"Healthy_iMg",136,0.52,0,0,5522,0.0128092736823039,0.53871037855461,36.7744,1431.9292,37.8370048836254
"17",32,"Diabetes_Total Mg",30,0.91,0.05,0.01,337,0.08125,0.84625,24.9155,245.6027,15.648783645103
"18",32,"Diabetes_Total Mg",30,0.92,0.05,0.01,337,0.0821428571428571,0.84625,25.4645,245.6027,15.648783645103
"19",32,"Diabetes_iMg",30,0.42,0.05,0.01,892,0.0141414141414141,0.498451178451178,5.3645,238.321,15.4295906483189
"20",32,"Diabetes_iMg",30,0.49,0.06,0.01,892,0.0164983164983165,0.498451178451178,7.3074,238.321,15.4295906483189
"21",33,"Diabetes_iMg",105,0.49,0.05,0,892,0.0577441077441077,0.498451178451178,25.4705,238.321,15.4295906483189
"22",33,"Diabetes_Total Mg",105,0.82,0.01,0,337,0.25625,0.84625,70.6124,245.6027,15.648783645103
"23",33,"Healthy_iMg",100,0.55,0.05,0.01,5522,0.00996196341242529,0.53871037855461,30.4975,1431.9292,37.8370048836254
"24",33,"Healthy_Total Mg",100,0.84,0.01,0,1411,0.0595744680851064,0.854234042553191,70.5699,926.5355,30.4270482740539
"25",39,"CVD_iMg",36,0.55,0.07,0.01,956,0.0207329842931937,0.504251308900524,11.0615,248.0064,15.7401354621493
"26",39,"CVD_Total Mg",36,0.79,0.1,0.02,333,0.0856626506024096,0.841686746987952,22.8176,239.1302,15.4408429036379
"27",55,"Healthy_Total Mg",12,0.86,0.12,0.04,1411,0.00731914893617021,0.854234042553191,9.0336,926.5355,30.4270482740539
"28",55,"Healthy_iMg",12,0.48,0.06,0.02,5522,0.00104328925919218,0.53871037855461,2.8044,1431.9292,37.8370048836254
"29",55,"CVD_Total Mg",20,0.67,0.07,0.02,333,0.0403614457831325,0.841686746987952,9.0711,239.1302,15.4408429036379
"30",55,"CVD_iMg",20,0.53,0.16,0.04,956,0.0110994764397906,0.504251308900524,6.1044,248.0064,15.7401354621493
"31",70,"Diabetes_iMg",290,0.44,0.08,0,892,0.14320987654321,0.498451178451178,57.9936,238.321,15.4295906483189
"32",71,"Healthy_iMg",20,0.58,0.05,0.01,5522,0.00210106864698424,0.53871037855461,6.7755,1431.9292,37.8370048836254
"33",71,"Diabetes_iMg",30,0.45,0.02,0,892,0.0151515151515152,0.498451178451178,6.0866,238.321,15.4295906483189
"34",71,"Diabetes_iMg",30,0.36,0.05,0.01,892,0.0121212121212121,0.498451178451178,3.9605,238.321,15.4295906483189
"35",71,"Diabetes_iMg",30,0.35,0.04,0.01,892,0.0117845117845118,0.498451178451178,3.7214,238.321,15.4295906483189
"36",78,"Healthy_iMg",20,0.53,0.01,0,5522,0.0019199420394856,0.53871037855461,5.6199,1431.9292,37.8370048836254
"37",78,"Healthy_Total Mg",20,0.89,0.01,0,1411,0.0126241134751773,0.854234042553191,15.8439,926.5355,30.4270482740539
"38",91,"Renal disease_Total Mg",49,0.97,0.12,0.02,628,0.0758054226475279,0.947448165869219,46.7953,557.2699,23.5875138643626
"39",91,"Renal disease_iMg",49,0.62,0.07,0.01,781,0.0389487179487179,0.577282051282051,19.0708,257.2032,16.0271494091689
"40",91,"Healthy_Total Mg",30,0.86,0.08,0.01,1411,0.0182978723404255,0.854234042553191,22.3736,926.5355,30.4270482740539
"41",91,"Healthy_iMg",30,0.56,0.04,0.01,5522,0.00304292700597718,0.53871037855461,9.4544,1431.9292,37.8370048836254
"42",97,"Healthy_iMg",20,0.68,0.08,0.02,5522,0.00246332186198153,0.53871037855461,9.3696,1431.9292,37.8370048836254
"43",97,"Healthy_iMg",20,0.55,0.04,0.01,5522,0.00199239268248506,0.53871037855461,6.0804,1431.9292,37.8370048836254
"44",104,"CVD_iMg",217,0.46,0.07,0,956,0.104523560209424,0.504251308900524,46.9756,248.0064,15.7401354621493
"45",110,"Healthy_iMg",1652,0.53,0.05,0,5522,0.158587212461511,0.53871037855461,468.1743,1431.9292,37.8370048836254
"46",110,"Healthy_iMg",607,0.53,0.05,0,5522,0.058270240898388,0.53871037855461,172.0213,1431.9292,37.8370048836254
"47",112,"Healthy_iMg",26,0.61,0.03,0.01,5522,0.00287266799492845,0.53871037855461,9.6971,1431.9292,37.8370048836254
"48",112,"Healthy_Total Mg",26,0.9,0.03,0.01,1411,0.0165957446808511,0.854234042553191,21.0825,926.5355,30.4270482740539
"49",126,"Healthy_iMg",6,0.6,0.01,0.01,5522,0.00065205578699511,0.53871037855461,2.1605,1431.9292,37.8370048836254
"50",127,"Healthy_iMg",61,0.52,0.04,0.01,5522,0.00574533598985691,0.53871037855461,16.5904,1431.9292,37.8370048836254
"51",127,"Healthy_iMg",64,0.51,0.03,0,5522,0.00591197246875566,0.53871037855461,16.7031,1431.9292,37.8370048836254
"52",134,"Healthy_iMg",41,0.5,0.05,0.01,5522,0.00371309545372215,0.53871037855461,10.35,1431.9292,37.8370048836254
"53",134,"Healthy_iMg",10,0.5,0.03,0.01,5522,0.000905633037493208,0.53871037855461,2.5081,1431.9292,37.8370048836254
"54",135,"Healthy_iMg",9,0.59,0.04,0.01,5522,0.000961782285817787,0.53871037855461,3.1457,1431.9292,37.8370048836254
"55",135,"Healthy_iMg",9,0.58,0.05,0.02,5522,0.000945480891142909,0.53871037855461,3.0476,1431.9292,37.8370048836254
"56",161,"Renal disease_iMg",44,0.76,0.08,0.01,781,0.0428717948717949,0.577282051282051,25.6896,257.2032,16.0271494091689
"57",161,"Healthy_iMg",116,0.56,0.05,0,5522,0.0117659844231118,0.53871037855461,36.6651,1431.9292,37.8370048836254
"58",161,"Renal disease_Total Mg",44,1.24,0.18,0.03,628,0.0870175438596491,0.947448165869219,69.0476,557.2699,23.5875138643626
"59",161,"Healthy_Total Mg",116,0.88,0.06,0.01,1411,0.0723971631205674,0.854234042553191,90.2444,926.5355,30.4270482740539
"60",165,"CVD_iMg",8,0.52,0.1,0.04,956,0.00435602094240838,0.504251308900524,2.2332,248.0064,15.7401354621493
"61",165,"CVD_Total Mg",8,0.88,0.13,0.05,333,0.0212048192771084,0.841686746987952,6.3135,239.1302,15.4408429036379
"62",169,"CVD_iMg",21,0.55,0.06,0.01,956,0.0120942408376963,0.504251308900524,6.4245,248.0064,15.7401354621493
"63",169,"CVD_iMg",12,0.51,0.07,0.02,956,0.00640837696335079,0.504251308900524,3.1751,248.0064,15.7401354621493
"64",169,"CVD_Total Mg",21,0.78,0.1,0.02,333,0.0493373493975904,0.841686746987952,12.9764,239.1302,15.4408429036379
"65",169,"CVD_Total Mg",12,0.8,0.11,0.03,333,0.0289156626506024,0.841686746987952,7.8131,239.1302,15.4408429036379
"66",201,"Hypertension_iMg",113,0.63,0.07,0.01,462,0.154425162689805,0.643340563991323,45.3985,198.8119,14.0853510824524
"67",201,"CVD_iMg",26,0.64,0.06,0.01,956,0.0174240837696335,0.504251308900524,10.7396,248.0064,15.7401354621493
"68",201,"Healthy_iMg",273,0.63,0.08,0,5522,0.0311519652236914,0.53871037855461,110.0945,1431.9292,37.8370048836254
"69",211,"CVD_iMg",72,0.51,0.01,0,956,0.0384502617801047,0.504251308900524,18.7343,248.0064,15.7401354621493
"70",211,"CVD_Total Mg",90,0.76,0.02,0,333,0.206024096385542,0.841686746987952,52.0196,239.1302,15.4408429036379
"71",212,"CVD_iMg",25,0.47,0.1,0.02,956,0.012303664921466,0.504251308900524,5.7625,248.0064,15.7401354621493
"72",212,"CVD_iMg",25,0.46,0.15,0.03,956,0.0120418848167539,0.504251308900524,5.83,248.0064,15.7401354621493
"73",219,"Renal disease_iMg",78,0.5,0.1,0.01,781,0.05,0.577282051282051,20.27,257.2032,16.0271494091689
"74",233,"Renal disease_Total Mg",39,0.79,0.02,0,628,0.0491387559808612,0.947448165869219,24.3551,557.2699,23.5875138643626
"75",233,"Renal disease_iMg",39,0.54,0.01,0,781,0.027,0.577282051282051,11.3762,257.2032,16.0271494091689
"76",234,"Renal disease_iMg",27,0.5,0.02,0,781,0.0173076923076923,0.577282051282051,6.7604,257.2032,16.0271494091689
"77",234,"Renal disease_Total Mg",27,0.78,0.02,0,628,0.0335885167464115,0.947448165869219,16.4372,557.2699,23.5875138643626
"78",234,"Healthy_iMg",34,0.61,0.06,0.01,5522,0.00375656583952183,0.53871037855461,12.7702,1431.9292,37.8370048836254
"79",234,"Healthy_Total Mg",34,0.84,0.02,0,1411,0.0202553191489362,0.854234042553191,24.0036,926.5355,30.4270482740539
"80",235,"Renal disease_iMg",26,0.55,0.02,0,781,0.0183333333333333,0.577282051282051,7.875,257.2032,16.0271494091689
"81",235,"Renal disease_Total Mg",26,0.99,0.04,0.01,628,0.0410526315789474,0.947448165869219,25.5226,557.2699,23.5875138643626
"82",235,"Renal disease_iMg",10,0.5,0.04,0.01,781,0.00641025641025641,0.577282051282051,2.5144,257.2032,16.0271494091689
"83",235,"Renal disease_Total Mg",10,0.85,0.05,0.02,628,0.0135566188197767,0.947448165869219,7.2475,557.2699,23.5875138643626
"84",235,"Healthy_iMg",66,0.6,0,0,5522,0.00717261365694621,0.53871037855461,23.76,1431.9292,37.8370048836254
"85",235,"Healthy_Total Mg",66,0.84,0.01,0,1411,0.0393191489361702,0.854234042553191,46.5761,926.5355,30.4270482740539
"86",241,"Healthy_iMg",32,0.57,0.04,0.01,5522,0.00330374932077522,0.53871037855461,10.4464,1431.9292,37.8370048836254
"87",241,"Healthy_iMg",32,0.55,0.04,0.01,5522,0.00318782829197609,0.53871037855461,9.7296,1431.9292,37.8370048836254
"88",257,"Healthy_iMg",15,0.54,0.04,0.01,5522,0.001467125520739,0.53871037855461,4.3964,1431.9292,37.8370048836254
"89",257,"Healthy_Total Mg",15,0.87,0.06,0.02,1411,0.00925531914893617,0.854234042553191,11.4039,926.5355,30.4270482740539
"90",260,"Diabetes_iMg",57,0.73,0.13,0.02,892,0.0467003367003367,0.498451178451178,31.3217,238.321,15.4295906483189
"91",260,"Diabetes_iMg",47,0.74,0.12,0.02,892,0.0390347923681257,0.498451178451178,26.3996,238.321,15.4295906483189
"92",260,"Healthy_iMg",25,0.81,0.14,0.03,5522,0.00366781380184749,0.53871037855461,16.8729,1431.9292,37.8370048836254
"93",261,"Diabetes_iMg",15,0.55,0.06,0.02,892,0.00925925925925926,0.498451178451178,4.5879,238.321,15.4295906483189
"94",261,"Diabetes_iMg",15,0.51,0.01,0,892,0.00858585858585859,0.498451178451178,3.9029,238.321,15.4295906483189
"95",261,"Diabetes_iMg",23,0.54,0.05,0.01,892,0.0139393939393939,0.498451178451178,6.7618,238.321,15.4295906483189
"96",261,"Diabetes_Total Mg",17,0.86,0.07,0.02,337,0.0435119047619048,0.84625,12.6516,245.6027,15.648783645103
"97",261,"Diabetes_Total Mg",17,0.82,0.08,0.02,337,0.0414880952380952,0.84625,11.5332,245.6027,15.648783645103
"98",261,"Diabetes_Total Mg",20,0.84,0.08,0.02,337,0.05,0.84625,14.2336,245.6027,15.648783645103
"99",261,"Healthy_iMg",13,0.51,0.05,0.02,5522,0.00120086940771599,0.53871037855461,3.4113,1431.9292,37.8370048836254
"100",261,"Healthy_iMg",12,0.43,0.08,0.02,5522,0.00093461329469299,0.53871037855461,2.2892,1431.9292,37.8370048836254
"101",261,"Healthy_iMg",23,0.48,0.08,0.02,5522,0.001999637746785,0.53871037855461,5.44,1431.9292,37.8370048836254
"102",261,"Healthy_Total Mg",9,0.88,0.05,0.02,1411,0.00561702127659574,0.854234042553191,6.9896,926.5355,30.4270482740539
"103",261,"Healthy_Total Mg",11,0.85,0.21,0.07,1411,0.00663120567375886,0.854234042553191,8.3885,926.5355,30.4270482740539
"104",261,"Healthy_Total Mg",20,0.86,0.08,0.02,1411,0.0121985815602837,0.854234042553191,14.9136,926.5355,30.4270482740539
"105",268,"Healthy_iMg",20,0.59,0.01,0,5522,0.00213729396848397,0.53871037855461,6.9639,1431.9292,37.8370048836254
"106",268,"Healthy_Total Mg",20,0.94,0.01,0,1411,0.0133333333333333,0.854234042553191,17.6739,926.5355,30.4270482740539
